,user_id,item_id,weight,datetime
0,0,0,8.0,1521683752.1802354
1,1,0,10.0,1500989040.3978071
2,2,0,9.0,1504737602.4589934
3,3,0,6.0,1489741597.5466342
4,4,0,10.0,1476925266.1488051
5,5,0,6.0,1503267910.3491502
6,6,0,5.0,1513214313.4353695
7,7,0,10.0,1504767411.5474665
8,8,0,6.0,1478261794.6820905
9,9,0,2.0,1524736734.9189427
10,10,0,9.0,1481983734.3652418
11,11,0,3.0,1506956138.1882045
12,12,0,10.0,1499786915.0115705
14,14,0,6.0,1484964592.3565476
15,15,0,8.0,1483714183.557594
17,17,0,8.0,1502078089.8064003
18,18,0,7.0,1479495148.4550018
19,19,0,6.0,1480367039.8955812
20,20,0,8.0,1496271164.2252028
21,21,0,10.0,1500347209.472007
22,22,0,6.0,1495792117.2638156
23,23,0,9.0,1481285035.1071224
24,24,0,6.0,1517857048.5371428
26,26,0,5.0,1495189655.6852167
27,27,0,10.0,1483235877.726055
28,28,0,8.0,1478479143.4817042
30,30,0,10.0,1481607602.7941694
31,31,0,8.0,1523758296.245849
32,32,0,7.0,1496116575.1467116
33,33,0,6.0,1511579580.6006155
35,35,0,10.0,1501338952.3445537
36,36,0,6.0,1477778306.1548576
37,37,0,10.0,1507262394.4949172
38,38,0,10.0,1518102855.6503394
39,39,0,8.0,1528637396.0950038
41,41,0,10.0,1478076318.127956
42,42,0,9.0,1492004768.1771011
44,44,0,7.0,1478129497.790835
45,45,0,8.0,1499718797.5246286
46,46,0,2.0,1490246419.7863626
47,47,0,4.0,1513783700.451053
48,48,0,7.0,1479386175.06252
49,49,0,10.0,1497740951.762267
51,51,0,10.0,1489137914.8610873
52,52,0,9.0,1499509367.2476723
54,54,0,7.0,1509788834.337434
56,56,0,6.0,1537472490.698201
57,57,0,6.0,1496538207.8322144
58,58,0,3.0,1514670245.1114416
59,59,0,9.0,1506367952.213648
60,60,0,7.0,1477689382.0420218
61,61,0,7.0,1515290623.4845963
63,63,0,9.0,1499541984.316836
65,65,0,9.0,1527403774.3517127
69,0,1,8.0,1537715386.3967211
71,2,1,9.0,1549615214.2777581
72,3,1,7.0,1487718055.4458847
75,6,1,4.0,1495071907.3984303
76,7,1,10.0,1539295524.3230462
77,8,1,8.0,1538339063.3238564
78,9,1,4.0,1518045693.5618086
80,11,1,5.0,1559340157.364567
83,14,1,8.0,1509288483.7309012
84,15,1,8.0,1496702411.1302474
85,16,1,7.0,1486843795.8024912
86,17,1,8.0,1575502086.5884542
87,18,1,8.0,1564135462.724718
88,19,1,5.0,1486992905.5247934
89,20,1,4.0,1550027320.8402195
90,21,1,9.0,1539170560.4052296
91,22,1,7.0,1489935697.388452
92,23,1,10.0,1513138580.0610688
94,25,1,10.0,1493004593.7410405
95,26,1,5.0,1536219082.0341022
96,27,1,10.0,1477190653.5544655
97,28,1,9.0,1484987509.5111816
98,29,1,7.0,1475936828.1483953
99,30,1,9.0,1526594345.5279803
101,32,1,3.0,1530491798.8540094
102,33,1,3.0,1538449263.3281572
103,34,1,4.0,1483611553.1497636
104,35,1,5.0,1514678486.1653123
105,36,1,7.0,1524218767.0596209
106,37,1,9.0,1529331255.548865
107,38,1,8.0,1512526851.3654616
108,39,1,9.0,1552569511.4478512
110,41,1,10.0,1536244855.1584797
111,42,1,8.0,1500532007.6407037
113,44,1,8.0,1532153099.5756125
115,46,1,10.0,1483121533.160174
116,47,1,7.0,1484230257.0200598
118,49,1,10.0,1565511492.5511355
121,52,1,8.0,1541649378.270011
123,54,1,10.0,1563097051.729308
125,56,1,8.0,1551563056.536682
127,58,1,8.0,1476501267.265422
128,59,1,8.0,1497487322.42647
129,60,1,6.0,1554233324.6822164
131,62,1,10.0,1514284805.6189556
134,65,1,7.0,1520307710.5543187
138,0,2,7.0,1564537725.6073167
140,2,2,8.0,1520071049.0348618
141,3,2,9.0,1574860472.9978266
144,6,2,5.0,1561877525.6381788
145,7,2,10.0,1576344025.3041782
146,8,2,9.0,1558488616.8953035
147,9,2,4.0,1513882947.402016
148,10,2,8.0,1561461399.3434978
150,12,2,10.0,1494679569.3015206
152,14,2,7.0,1547382058.6991837
153,15,2,8.0,1512245341.1201894
154,16,2,8.0,1557415035.9481537
156,18,2,8.0,1567068316.644043
157,19,2,8.0,1533584387.619702
158,20,2,9.0,1485888773.7730393
159,21,2,8.0,1527650990.0458913
160,22,2,7.0,1490339307.7879865
163,25,2,10.0,1499613465.828413
164,26,2,6.0,1547958614.6641922
165,27,2,7.0,1507216100.9201393
166,28,2,10.0,1479284225.9722984
168,30,2,6.0,1502144324.4035466
169,31,2,7.0,1528950909.4206638
170,32,2,8.0,1513612340.7184389
174,36,2,9.0,1545814455.5389972
175,37,2,9.0,1508605513.9632964
176,38,2,8.0,1549001416.3203251
177,39,2,9.0,1507614527.4284563
179,41,2,7.0,1533659526.5584676
180,42,2,9.0,1568065837.5577123
182,44,2,8.0,1535190093.556832
184,46,2,9.0,1505673305.9325862
186,48,2,7.0,1567204980.0144286
187,49,2,10.0,1483274923.2796888
192,54,2,10.0,1518145622.8471758
194,56,2,8.0,1539022079.3390365
196,58,2,8.0,1563839751.2031765
197,59,2,7.0,1505355516.0482185
