,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Бойцовский клуб
Fight Club, 1999","Залечь на дно в Брюгге (2007)
In Bruges","Бойцовский клуб
Fight Club, 1999","Бойцовский клуб
Fight Club, 1999","Титаник (1997)
Titanic"
1,"Джокер (2019)
Joker","Титаник (1997)
Titanic","Джокер (2019)
Joker","Психо (1960)
Psycho","Страсти Христовы
The Passion of the Christ, 2004"
2,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Поймай меня, если сможешь
Catch Me If You Can, 2002","Титаник (1997)
Titanic","Страсти Христовы
The Passion of the Christ, 2004","Билли Мэдисон
Billy Madison, 1995"
3,"Копы в глубоком запасе (2010)
The Other Guys","
Мемуары Улитки (2024)
Memoir of a Snail","1+1
Intouchables, 2011","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
4,"Титаник (1997)
Titanic","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Шоу Трумана
The Truman Show, 1998","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Психо (1960)
Psycho"
5,Чужие (1986),"На посту!
Au poste!, 2018","Мстители: Финал (2019)
Avengers: Endgame","Отступники
The Departed, 2006","Отступники
The Departed, 2006"
6,День радио (2008),"500 дней лета (2009)
(500) Days of Summer","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Гладиатор 2 (2024)
Gladiator II","Здесь курят (2005)
Thank You for Smoking"
7,"Неогранённые алмазы (2019)
Uncut Gems","Конклав (2024)
Conclave","Поймай меня, если сможешь
Catch Me If You Can, 2002","Здесь курят (2005)
Thank You for Smoking","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
8,"Леон
Léon, 1994","Мартовские иды (2011)
The Ides of March","Леон
Léon, 1994","Безумный Макс 2: Воин дороги (1981)
Mad Max 2","Безумный Макс 2: Воин дороги (1981)
Mad Max 2"
9,"Чужой
Alien, 1979","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Чужой
Alien, 1979","Леон
Léon, 1994","Леон
Léon, 1994"
