,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Пэрл (2022)
Pearl","Джокер (2019)
Joker","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3"
1,"Пятый элемент
The Fifth Element, 1997","Клуб «Завтрак» (1985)
The Breakfast Club","Пятый элемент
The Fifth Element, 1997","Звездный десант (1997)
Starship Troopers","Достучаться до небес
Knockin' on Heaven's Door, 1997"
2,Курьер (1986),"Мстители: Финал (2019)
Avengers: Endgame","Мстители: Финал (2019)
Avengers: Endgame","Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare","Виды доброты (2024)
Kinds of Kindness"
3,О чём говорят мужчины (2010),"Чужой
Alien, 1979","Титаник (1997)
Titanic","
Мемуары Улитки (2024)
Memoir of a Snail","Звездный десант (1997)
Starship Troopers"
4,"Мертвец (1995)
Dead Man","Телохранитель киллера (2017)
The Hitman's Bodyguard",О чём говорят мужчины (2010),"Однажды в Ирландии (2011)
The Guard","Фарго (1995)
Fargo"
5,"Фарго (1995)
Fargo","Звездный десант (1997)
Starship Troopers","Чужой
Alien, 1979","Зодиак (2007)
Zodiac","Человек на Луне (2018)
First Man"
6,"Титаник (1997)
Titanic","Врожденный порок (2014)
Inherent Vice","Достучаться до небес
Knockin' on Heaven's Door, 1997","Фарго (1995)
Fargo","Однажды в Ирландии (2011)
The Guard"
7,День радио (2008),"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Звездный десант (1997)
Starship Troopers","Отступники
The Departed, 2006","Зодиак (2007)
Zodiac"
8,"Мертвые не умирают (2019)
The Dead Don't Die","Титаник (1997)
Titanic","Бешеные псы (1991)
Reservoir Dogs","Человек на Луне (2018)
First Man","Отступники
The Departed, 2006"
9,"Достучаться до небес
Knockin' on Heaven's Door, 1997","Папа, сдохни (2018)",Курьер (1986),"Бешеные псы (1991)
Reservoir Dogs","Бешеные псы (1991)
Reservoir Dogs"
