,KNN,Random,Popular,Election_series_SNTV,Election_remove_bad_SNTV,Election_series_BnB,Election_remove_bad_BnB
0,"Люди в чёрном
Men in Black, 1997","Дом большой мамочки (2000)
Big Momma's House","Титаник (1997)
Titanic","На посту!
Au poste!, 2018","Люди в чёрном
Men in Black, 1997","Семь
Se7en, 1995","Ловушка (2024)
Trap"
1,"Титаник (1997)
Titanic","Титаник (1997)
Titanic","Мстители: Финал (2019)
Avengers: Endgame","Только бог простит (2012)
Only God Forgives","Как поймать монстра (2014)
Lost River","Типа крутые легавые (2007)
Hot Fuzz","Типа крутые легавые (2007)
Hot Fuzz"
2,"Терминатор (1984)
The Terminator","Только бог простит (2012)
Only God Forgives","Форрест Гамп
Forrest Gump, 1994","Фарго (1995)
Fargo","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Ловушка (2024)
Trap","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)"
3,"Криминальное чтиво
Pulp Fiction, 1994","Конклав (2024)
Conclave","Криминальное чтиво
Pulp Fiction, 1994","Неогранённые алмазы (2019)
Uncut Gems","Только бог простит (2012)
Only God Forgives","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Только бог простит (2012)
Only God Forgives"
4,"Омерзительная восьмерка
The Hateful Eight, 2015","Люди в чёрном
Men in Black, 1997","Джокер (2019)
Joker","Как поймать монстра (2014)
Lost River","Анора (2024)
Anora","Форрест Гамп
Forrest Gump, 1994","Неогранённые алмазы (2019)
Uncut Gems"
5,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Фарго (1995)
Fargo","Люди в чёрном
Men in Black, 1997","Анора (2024)
Anora","Неогранённые алмазы (2019)
Uncut Gems","Фарго (1995)
Fargo","Анора (2024)
Anora"
6,"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Криминальное чтиво
Pulp Fiction, 1994","Семь
Se7en, 1995","Форрест Гамп
Forrest Gump, 1994","Омерзительная восьмерка
The Hateful Eight, 2015","Анора (2024)
Anora","Форрест Гамп
Forrest Gump, 1994"
7,"Джанго освобожденный
Django Unchained, 2012","
Небриллиантовая рука (2024)","Терминатор (1984)
The Terminator","Джанго освобожденный
Django Unchained, 2012","Форрест Гамп
Forrest Gump, 1994","Омерзительная восьмерка
The Hateful Eight, 2015","Омерзительная восьмерка
The Hateful Eight, 2015"
8,"Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Джанго освобожденный
Django Unchained, 2012","Джанго освобожденный
Django Unchained, 2012","Омерзительная восьмерка
The Hateful Eight, 2015","Фарго (1995)
Fargo","Только бог простит (2012)
Only God Forgives","Фарго (1995)
Fargo"
9,"Чужой
Alien, 1979","Достать ножи
Knives Out, 2019","Омерзительная восьмерка
The Hateful Eight, 2015","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Джанго освобожденный
Django Unchained, 2012","Джанго освобожденный
Django Unchained, 2012","Джанго освобожденный
Django Unchained, 2012"
10,,,,,,"Неогранённые алмазы (2019)
Uncut Gems",
