,0
0,0
1,1
2,2
5,3
6,4
7,5
9,6
11,7
12,8
13,9
15,10
17,11
18,12
19,13
20,14
21,15
22,16
26,17
28,18
30,19
31,20
32,21
33,22
34,23
37,24
38,25
41,26
43,27
44,28
45,29
46,30
48,31
51,32
52,33
53,34
54,35
55,36
56,37
58,38
59,39
60,40
61,41
62,42
63,43
65,44
66,45
67,46
72,47
73,48
74,49
75,50
77,51
79,52
81,53
84,54
87,55
88,56
89,57
90,58
91,59
92,60
94,61
95,62
96,63
97,64
99,65
100,66
101,67
102,68
103,69
105,70
106,71
107,72
110,73
111,74
112,75
113,76
118,77
121,78
126,79
127,80
128,81
129,82
131,83
132,84
133,85
135,86
136,87
137,88
138,89
139,90
140,91
141,92
142,93
143,94
145,95
147,96
148,97
149,98
150,99
151,100
153,101
154,102
156,103
157,104
158,105
159,106
160,107
161,108
163,109
164,110
165,111
166,112
167,113
170,114
175,115
3,116
4,117
29,118
35,119
39,120
16,121
36,122
47,123
50,124
69,125
98,126
122,127
162,128
176,129
14,130
23,131
76,132
108,133
125,134
130,135
155,136
8,137
10,138
27,139
40,140
49,141
64,142
42,143
68,144
71,145
80,146
115,147
119,148
120,149
144,150
146,151
169,152
24,153
25,154
57,155
78,156
82,157
83,158
85,159
93,160
104,161
109,162
114,163
117,164
123,165
124,166
134,167
86,168
70,169
116,170
152,171
171,172
174,173
177,174
178,175
179,176
168,177
173,178
180,179
181,180
183,181
185,182
172,183
184,184
182,185
