,0
0,0
1,1
4,2
5,3
6,4
7,5
8,6
9,7
10,8
11,9
13,10
14,11
16,12
18,13
19,14
20,15
21,16
22,17
23,18
24,19
25,20
26,21
27,22
28,23
29,24
32,25
33,26
34,27
35,28
38,29
40,30
41,31
42,32
43,33
44,34
46,35
48,36
49,37
51,38
55,39
56,40
59,41
60,42
61,43
62,44
63,45
64,46
65,47
68,48
69,49
70,50
71,51
72,52
74,53
75,54
76,55
77,56
79,57
81,58
82,59
84,60
85,61
87,62
89,63
90,64
95,65
96,66
97,67
99,68
100,69
101,70
102,71
103,72
106,73
107,74
108,75
109,76
111,77
113,78
114,79
115,80
118,81
119,82
121,83
122,84
123,85
127,86
128,87
129,88
130,89
131,90
132,91
134,92
135,93
136,94
137,95
139,96
140,97
141,98
145,99
148,100
150,101
153,102
154,103
156,104
157,105
158,106
160,107
161,108
162,109
163,110
164,111
165,112
167,113
170,114
178,115
3,116
12,117
37,118
98,119
2,120
31,121
36,122
39,123
47,124
50,125
155,126
125,127
143,128
17,129
176,130
177,131
15,132
30,133
45,134
80,135
88,136
105,137
126,138
133,139
138,140
142,141
144,142
146,143
147,144
149,145
169,146
52,147
53,148
57,149
58,150
67,151
78,152
83,153
86,154
91,155
92,156
93,157
94,158
104,159
110,160
112,161
116,162
117,163
124,164
54,165
73,166
120,167
152,168
166,169
168,170
172,171
173,172
175,173
179,174
66,175
151,176
159,177
171,178
174,179
181,180
182,181
183,182
185,183
184,184
180,185
