,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Круэлла (2021)
Cruella","Максин XXX (2024)
MaXXXine","Головоломка (2015)
Inside Out","Круто сваренные (1992)
Lat sau san taam","Таксист (1976)
Taxi Driver
(с робертом де ниро)"
1,"Головоломка (2015)
Inside Out","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Круэлла (2021)
Cruella","Дневник памяти (2004)
The Notebook","Здесь курят (2005)
Thank You for Smoking"
2,"Большой Лебовски (1998)
The Big Lebowski","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Драйв (2011)
Drive","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3"
3,"Терминатор (1984)
The Terminator",День выборов (2009),"Барби (2023)
Barbie","Здесь курят (2005)
Thank You for Smoking","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
4,День выборов (2009),"Гладиатор 2 (2024)
Gladiator II","Большой Лебовски (1998)
The Big Lebowski","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Дневник памяти (2004)
The Notebook"
5,"Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Кофе и сигареты (2003)
Coffee and Cigarettes","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Пленницы (2013)
Prisoners","Дэдпул и Росомаха (2024)
Deadpool & Wolverine"
6,"Терминал (2004)
The Terminal","Невезучие (2003)
Tais-toi!","Терминатор (1984)
The Terminator","Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Пленницы (2013)
Prisoners"
7,"Драйв (2011)
Drive","Вонка (2023)
Wonka","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Драйв (2011)
Drive","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
8,"Барби (2023)
Barbie","Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Нечто (1982)
The Thing","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Драйв (2011)
Drive"
9,Мастер и Маргарита (2023),"Место под соснами (2012)
The Place Beyond the Pines","Зомби по имени Шон (2004)
Shaun of the Dead","Большой Лебовски (1998)
The Big Lebowski","Большой Лебовски (1998)
The Big Lebowski"
