,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Бойцовский клуб
Fight Club, 1999","Джон Уик 4 (2023)
John Wick: Chapter 4","Бойцовский клуб
Fight Club, 1999","Бойцовский клуб
Fight Club, 1999","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
1,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Такие разные близнецы (2011)
Jack and Jill","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001"
2,"Назад в будущее
Back to the Future, 1985","Трасса 60
Interstate 60, 2001","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Бойцовский клуб
Fight Club, 1999"
3,"Люди в чёрном
Men in Black, 1997","Яйцеголовые
Coneheads, 1993","Назад в будущее
Back to the Future, 1985","Шоу Трумана
The Truman Show, 1998","Люди в чёрном
Men in Black, 1997"
4,"Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Люди в чёрном
Men in Black, 1997","Люди в чёрном
Men in Black, 1997","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008"
5,"Шоу Трумана
The Truman Show, 1998","Смертельное оружие (1987)
Lethal Weapon","Шоу Трумана
The Truman Show, 1998","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Бешеные псы (1991)
Reservoir Dogs"
6,"Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Пятый элемент
The Fifth Element, 1997","Криминальное чтиво
Pulp Fiction, 1994","На посту!
Au poste!, 2018","Типа крутые легавые (2007)
Hot Fuzz"
7,"Криминальное чтиво
Pulp Fiction, 1994","Американская история X (1998)
American History X","Скотт Пилигрим против всех (2010)
Scott Pilgrim vs. the World","Здесь курят (2005)
Thank You for Smoking","Здесь курят (2005)
Thank You for Smoking"
8,"Бесславные ублюдки
Inglourious Basterds, 2009","Достать ножи
Knives Out, 2019","Пятый элемент
The Fifth Element, 1997","Пленницы (2013)
Prisoners","Шоу Трумана
The Truman Show, 1998"
9,"Драйв (2011)
Drive","Зомби по имени Шон (2004)
Shaun of the Dead","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Пункт назначения (2000)
Final Destination","Пункт назначения (2000)
Final Destination"
