,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Леон
Léon, 1994","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Леон
Léon, 1994","Апокалипсис сегодня (1979)
Apocalypse Now","Однажды в Ирландии (2011)
The Guard"
1,"Американская история X (1998)
American History X","Каскадёры (2024)
The Fall Guy","Достать ножи
Knives Out, 2019","Мимино
1977","Секреты Лос-Анджелеса (1997)
L.A. Confidential"
2,"Чужой
Alien, 1979","Не говори никому (2021)
Gæsterne","Чужой
Alien, 1979","Ночь на Земле (1991)
Night on Earth","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)"
3,"Дом большой мамочки (2000)
Big Momma's House","Пленницы (2013)
Prisoners","Пункт назначения (2000)
Final Destination","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Круто сваренные (1992)
Lat sau san taam"
4,"Пункт назначения (2000)
Final Destination","Серый человек (2022)
The Gray Man","Субстанция (2024)
The Substance","Секреты Лос-Анджелеса (1997)
L.A. Confidential","Пленницы (2013)
Prisoners"
5,"Дилер (1996)
Pusher","Мертвые не умирают (2019)
The Dead Don't Die","Достучаться до небес
Knockin' on Heaven's Door, 1997","Терминал (2004)
The Terminal","Апокалипсис сегодня (1979)
Apocalypse Now"
6,"Терминал (2004)
The Terminal","Яйцеголовые
Coneheads, 1993","Пленницы (2013)
Prisoners","Пленницы (2013)
Prisoners","Достать ножи
Knives Out, 2019"
7,"Пленницы (2013)
Prisoners","Дилер (1996)
Pusher","Терминал (2004)
The Terminal","Достать ножи
Knives Out, 2019","Терминал (2004)
The Terminal"
8,Чужие (1986),"Красота по-американски (1999)
American Beauty",Гитлер капут! (2008),"Леон
Léon, 1994","Леон
Léon, 1994"
9,"Пэрл (2022)
Pearl","Головоломка 2 (2024)
Inside Out 2","Пункт назначения. Аквапарк (2019)
Aquaslash","Общество мертвых поэтов (1989)
Dead Poets Society","Общество мертвых поэтов (1989)
Dead Poets Society"
