,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Интерстеллар
Interstellar, 2014","Место под соснами (2012)
The Place Beyond the Pines","Интерстеллар
Interstellar, 2014","Большой куш
Snatch, 2000","Психо (1960)
Psycho"
1,"Джанго освобожденный
Django Unchained, 2012","Копы в глубоком запасе (2010)
The Other Guys","Ла-Ла Ленд
La La Land, 2016","Круто сваренные (1992)
Lat sau san taam","Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare"
2,"Ла-Ла Ленд
La La Land, 2016","Джокер: Безумие на двоих (2024)
Joker: Folie à Deux","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Таксист (1976)
Taxi Driver
(с робертом де ниро)","Дэдпул и Росомаха (2024)
Deadpool & Wolverine"
3,"Зеленая миля
The Green Mile, 1999","Нечто (2011)
The Thing","Зеленая миля
The Green Mile, 1999","Поцелуй на вылет (2005)
Kiss Kiss Bang Bang","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One"
4,"Выживут только любовники (2013)
Only Lovers Left Alive","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland","Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Король говорит!
The King's Speech, 2010","Круто сваренные (1992)
Lat sau san taam"
5,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Серый человек (2022)
The Gray Man","Джанго освобожденный
Django Unchained, 2012","Общество мертвых поэтов (1989)
Dead Poets Society","Таксист (1976)
Taxi Driver
(с робертом де ниро)"
6,"Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Оленья кожа (2019)
Le daim","Семь
Se7en, 1995","Апокалипсис сегодня (1979)
Apocalypse Now","Апокалипсис сегодня (1979)
Apocalypse Now"
7,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","На посту!
Au poste!, 2018","Бегущий по лезвию 2049 (2017)
Blade Runner 2049","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One","Зеленая миля
The Green Mile, 1999"
8,"Американская история X (1998)
American History X","Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E.","Большой куш
Snatch, 2000","Зеленая миля
The Green Mile, 1999","Общество мертвых поэтов (1989)
Dead Poets Society"
9,Мастер и Маргарита (2023),"Дилер (1996)
Pusher","Одержимость
Whiplash, 2013","Отступники
The Departed, 2006","Отступники
The Departed, 2006"
