,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Вонка (2023)
Wonka","Барби (2023)
Barbie","Пчеловод (2024)
The Beekeeper","Чужой: Ромул (2024)
Alien: Romulus"
1,Мастер и Маргарита (2023),"Анора (2024)
Anora","Оппенгеймер (2023)
Oppenheimer","Головоломка 2 (2024)
Inside Out 2","Дюна: Часть вторая (2024)
Dune: Part Two"
2,"Ворон (2024)
The Crow","
Мемуары Улитки (2024)
Memoir of a Snail","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Анора (2024)
Anora","Головоломка 2 (2024)
Inside Out 2"
3,"Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Министерство неджентльменских дел (2024)
The Ministry of Ungentlemanly Warfare","Субстанция (2024)
The Substance",Мастер и Маргарита (2023),"Сотни бобров (2024)
Hundreds of Beavers"
4,"Оппенгеймер (2023)
Oppenheimer","Ловушка (2024)
Trap","Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Чужой: Ромул (2024)
Alien: Romulus","Анора (2024)
Anora"
5,"Зона интересов (2023)
The Zone of Interest","Каскадёры (2024)
The Fall Guy","Дюна: Часть вторая (2024)
Dune: Part Two","
Мемуары Улитки (2024)
Memoir of a Snail","
Мемуары Улитки (2024)
Memoir of a Snail"
6,"Барби (2023)
Barbie","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Бедные-несчастные (2023)
Poor Things","Зона интересов (2023)
The Zone of Interest","Зона интересов (2023)
The Zone of Interest"
7,"Платформа 2 (2024)
El hoyo 2","Максин XXX (2024)
MaXXXine","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Джон Уик 4 (2023)
John Wick: Chapter 4","Джон Уик 4 (2023)
John Wick: Chapter 4"
8,"Виды доброты (2024)
Kinds of Kindness","Гладиатор 2 (2024)
Gladiator II","Головоломка 2 (2024)
Inside Out 2","Оппенгеймер (2023)
Oppenheimer","Оппенгеймер (2023)
Oppenheimer"
9,"Максин XXX (2024)
MaXXXine","Чужой: Ромул (2024)
Alien: Romulus","Вонка (2023)
Wonka","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish"
