,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Круэлла (2021)
Cruella","Анора (2024)
Anora","Титаник (1997)
Titanic","Пленницы (2013)
Prisoners","Страсти Христовы
The Passion of the Christ, 2004"
1,"Титаник (1997)
Titanic","Джон Уик 4 (2023)
John Wick: Chapter 4","Круэлла (2021)
Cruella","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Дневник памяти (2004)
The Notebook"
2,Чужие (1986),"
Мемуары Улитки (2024)
Memoir of a Snail","Молчание ягнят
The Silence of the Lambs, 1990","Вне закона (1986)
Down by Law","Безумный Макс 2: Воин дороги (1981)
Mad Max 2"
3,"Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Максин XXX (2024)
MaXXXine","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Тайное окно (2004)
Secret Window","Тайное окно (2004)
Secret Window"
4,"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Крик (1996)
Scream","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Клуб «Завтрак» (1985)
The Breakfast Club","Клуб «Завтрак» (1985)
The Breakfast Club"
5,"Останься (2005)
Stay","Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу (1963)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",Наша Russia: Яйца судьбы (2010),"Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Пленницы (2013)
Prisoners"
6,"Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Соединённые штаты Лиланда (я отказываюсь называть этот фильм ""правда пацана"") (2003)
The United States of Leland",О чём говорят мужчины (2010),"Неогранённые алмазы (2019)
Uncut Gems","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
7,"Выживут только любовники (2013)
Only Lovers Left Alive","Перелом (2007)
Fracture","Субстанция (2024)
The Substance","Звездный десант (1997)
Starship Troopers","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)"
8,"Полу-Нельсон (2006)
Half Nelson",Мастер и Маргарита (2023),"Крик (1996)
Scream","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008","Загадочная история Бенджамина Баттона
The Curious Case of Benjamin Button, 2008"
9,"Фанатик (2001)
The Believer","Чокнутый (2006)
Delirious","Выживут только любовники (2013)
Only Lovers Left Alive","Побег из Нью-Йорка (1981)
Escape from New York (не тарков)","Звездный десант (1997)
Starship Troopers"
