,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Криминальное чтиво
Pulp Fiction, 1994","Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E.","Криминальное чтиво
Pulp Fiction, 1994","Общество мертвых поэтов (1989)
Dead Poets Society","Оппенгеймер (2023)
Oppenheimer"
1,"Леон
Léon, 1994",X (2022),"Начало
Inception, 2010","Поймай меня, если сможешь
Catch Me If You Can, 2002","Миссия невыполнима: Смертельная расплата. Часть первая (2023)
Mission: Impossible - Dead Reckoning Part One"
2,"Начало
Inception, 2010","Нечто (2011)
The Thing","Леон
Léon, 1994","Билли Мэдисон
Billy Madison, 1995","Фарго (1995)
Fargo"
3,"Вечное сияние чистого разума (2004)
Eternal Sunshine of the Spotless Mind","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Смертельное оружие (1987)
Lethal Weapon","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998"
4,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Последний бойскаут (1991)
The Last Boy Scout","Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E.","Трасса 60
Interstate 60, 2001"
5,"Поймай меня, если сможешь
Catch Me If You Can, 2002","Вне закона (1986)
Down by Law","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Перелом (2007)
Fracture","Общество мертвых поэтов (1989)
Dead Poets Society"
6,"Бесславные ублюдки
Inglourious Basterds, 2009","Фанатик (2001)
The Believer","Большой Лебовски (1998)
The Big Lebowski","Не говори никому (2021)
Gæsterne","Агенты А.Н.К.Л. (2015)
The Man from U.N.C.L.E."
7,"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Красота по-американски (1999)
American Beauty","Поймай меня, если сможешь
Catch Me If You Can, 2002","Трасса 60
Interstate 60, 2001","Поймай меня, если сможешь
Catch Me If You Can, 2002"
8,"Безумный Макс: Дорога ярости
Mad Max: Fury Road, 2015","Нечто (1982)
The Thing","Бесславные ублюдки
Inglourious Basterds, 2009","Американская история X (1998)
American History X","Американская история X (1998)
American History X"
9,"500 дней лета (2009)
(500) Days of Summer",Гитлер капут! (2008),Наша Russia: Яйца судьбы (2010),"Типа крутые легавые (2007)
Hot Fuzz","Типа крутые легавые (2007)
Hot Fuzz"
