,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Побег из Шоушенка
The Shawshank Redemption, 1994","Врожденный порок (2014)
Inherent Vice","Побег из Шоушенка
The Shawshank Redemption, 1994","Билли Мэдисон
Billy Madison, 1995","Чужой
Alien, 1979"
1,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Конклав (2024)
Conclave","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Клуб «Завтрак» (1985)
The Breakfast Club",Гидравлика (2010)
2,Чужие (1986),"Страсти Христовы
The Passion of the Christ, 2004","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Побег из Шоушенка
The Shawshank Redemption, 1994","Побег из Шоушенка
The Shawshank Redemption, 1994"
3,"Чужой
Alien, 1979","Максин XXX (2024)
MaXXXine",Наша Russia: Яйца судьбы (2010),"Терминатор (1984)
The Terminator","Игра на понижение (2015)
The Big Short"
4,"Останься (2005)
Stay","Платформа 2 (2024)
El hoyo 2","Терминатор (1984)
The Terminator","Апокалипсис сегодня (1979)
Apocalypse Now","Терминатор (1984)
The Terminator"
5,"Полу-Нельсон (2006)
Half Nelson",Гитлер капут! (2008),"Чужой
Alien, 1979","Тайное окно (2004)
Secret Window","Клуб «Завтрак» (1985)
The Breakfast Club"
6,"Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith",Мастер и Маргарита (2023),"Звездный десант (1997)
Starship Troopers","Зодиак (2007)
Zodiac","Апокалипсис сегодня (1979)
Apocalypse Now"
7,"Терминатор (1984)
The Terminator","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Зодиак (2007)
Zodiac","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Зодиак (2007)
Zodiac"
8,"Дилер (1996)
Pusher","Чужой
Alien, 1979","Клик: С пультом по жизни
Click, 2006","Игра на понижение (2015)
The Big Short","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)"
9,"Зодиак (2007)
Zodiac","
Бременские музыканты (2023)",Гитлер капут! (2008),"Общество мертвых поэтов (1989)
Dead Poets Society","Общество мертвых поэтов (1989)
Dead Poets Society"
