,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Один дома
Home Alone, 1990","Нечто (1982)
The Thing","Один дома
Home Alone, 1990","Зеленая миля
The Green Mile, 1999","
Мемуары Улитки (2024)
Memoir of a Snail"
1,"Железный человек (2008)
Iron Man","Телохранитель киллера (2017)
The Hitman's Bodyguard","Железный человек (2008)
Iron Man","Одержимость
Whiplash, 2013","Зеленая миля
The Green Mile, 1999"
2,"Интерстеллар
Interstellar, 2014","Семь психопатов (2012)
Seven Psychopaths","Интерстеллар
Interstellar, 2014","Отступники
The Departed, 2006","Как поймать монстра (2014)
Lost River"
3,"Назад в будущее
Back to the Future, 1985","Достать ножи
Knives Out, 2019","Властелин колец: Братство Кольца
The Lord of the Rings: The Fellowship of the Ring, 2001","Железный человек (2008)
Iron Man","Секреты Лос-Анджелеса (1997)
L.A. Confidential"
4,"Игры разума
A Beautiful Mind, 2001","Круэлла (2021)
Cruella","Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Невезучие (2003)
Tais-toi!","Отступники
The Departed, 2006"
5,"Люди в чёрном
Men in Black, 1997","Только бог простит (2012)
Only God Forgives","Назад в будущее
Back to the Future, 1985","Славные парни (2016)
The Nice Guys","Большой Лебовски (1998)
The Big Lebowski"
6,"Красота по-американски (1999)
American Beauty","Клик: С пультом по жизни
Click, 2006","Головоломка (2015)
Inside Out","Секреты Лос-Анджелеса (1997)
L.A. Confidential","Невезучие (2003)
Tais-toi!"
7,"Зеленая миля
The Green Mile, 1999","Грязь (2013)
Filth","Люди в чёрном
Men in Black, 1997","Большой Лебовски (1998)
The Big Lebowski","Железный человек (2008)
Iron Man"
8,"Побег из Шоушенка
The Shawshank Redemption, 1994","Гладиатор 2 (2024)
Gladiator II","Побег из Шоушенка
The Shawshank Redemption, 1994","Копы в глубоком запасе (2010)
The Other Guys","Одержимость
Whiplash, 2013"
9,"Пираты Карибского моря: Проклятие Черной жемчужины
Pirates of the Caribbean: The Curse of the Black Pearl, 2003","Мимино
1977","Криминальное чтиво
Pulp Fiction, 1994","Общество мертвых поэтов (1989)
Dead Poets Society","Общество мертвых поэтов (1989)
Dead Poets Society"
