,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Джокер (2019)
Joker","Страсти Христовы
The Passion of the Christ, 2004","Джокер (2019)
Joker",Майор Гром: Игра (2024),Майор Гром: Игра (2024)
1,"Титаник (1997)
Titanic","Конклав (2024)
Conclave","Титаник (1997)
Titanic","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Только бог простит (2012)
Only God Forgives"
2,Чужие (1986),"
Мемуары Улитки (2024)
Memoir of a Snail","Мстители: Финал (2019)
Avengers: Endgame",Чужие (1986),"Анора (2024)
Anora"
3,"Чужой
Alien, 1979",Мастер и Маргарита (2023),"Чужой
Alien, 1979","Только бог простит (2012)
Only God Forgives","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3"
4,День радио (2008),"Джокер (2019)
Joker","Звездный десант (1997)
Starship Troopers","Анора (2024)
Anora",Чужие (1986)
5,"Звездный десант (1997)
Starship Troopers","Гладиатор 2 (2024)
Gladiator II","Дюна: Часть вторая (2024)
Dune: Part Two","Страсти Христовы
The Passion of the Christ, 2004","Страсти Христовы
The Passion of the Christ, 2004"
6,"Неогранённые алмазы (2019)
Uncut Gems","Мстители: Финал (2019)
Avengers: Endgame","Дом большой мамочки (2000)
Big Momma's House","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan"
7,"Мстители: Финал (2019)
Avengers: Endgame","Анора (2024)
Anora","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","
Мемуары Улитки (2024)
Memoir of a Snail","
Мемуары Улитки (2024)
Memoir of a Snail"
8,"Телохранитель киллера (2017)
The Hitman's Bodyguard","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan",День радио (2008),"Чужой
Alien, 1979","Чужой
Alien, 1979"
9,"Дом большой мамочки (2000)
Big Momma's House","Как поймать монстра (2014)
Lost River","Не шутите с Zоханом! (2008)
You Don't Mess with the Zohan","Неогранённые алмазы (2019)
Uncut Gems","Неогранённые алмазы (2019)
Uncut Gems"
