,KNN,Random,Popular,Election_series,Election_remove_bad
0,"Железный человек (2008)
Iron Man","Чокнутый (2006)
Delirious","Аватар
Avatar, 2009","Побег из Шоушенка
The Shawshank Redemption, 1994","Чужой: Ромул (2024)
Alien: Romulus"
1,"Аватар
Avatar, 2009","Семь психопатов (2012)
Seven Psychopaths","Железный человек (2008)
Iron Man","Таксист
Taeksi unjeonsa, 2017
(корейский, а не который с робертом де ниро!)","Зона интересов (2023)
The Zone of Interest"
2,"Начало
Inception, 2010","Максин XXX (2024)
MaXXXine","Интерстеллар
Interstellar, 2014","Невезучие (2003)
Tais-toi!","Начало
Inception, 2010"
3,"Интерстеллар
Interstellar, 2014","Дилер (1996)
Pusher","Побег из Шоушенка
The Shawshank Redemption, 1994","Залечь на дно в Брюгге (2007)
In Bruges","
Мемуары Улитки (2024)
Memoir of a Snail"
4,"Достучаться до небес
Knockin' on Heaven's Door, 1997","Страсти Христовы
The Passion of the Christ, 2004","Начало
Inception, 2010","Начало
Inception, 2010","Побег из Шоушенка
The Shawshank Redemption, 1994"
5,"Побег из Шоушенка
The Shawshank Redemption, 1994","Одержимость
Whiplash, 2013","Пятый элемент
The Fifth Element, 1997","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Залечь на дно в Брюгге (2007)
In Bruges"
6,"Пятый элемент
The Fifth Element, 1997","Пэрл (2022)
Pearl","Звёздные войны: Эпизод 3 – Месть ситхов (2005)
Star Wars: Episode III - Revenge of the Sith","Общество мертвых поэтов (1989)
Dead Poets Society","Общество мертвых поэтов (1989)
Dead Poets Society"
7,"Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998","Мартовские иды (2011)
The Ides of March","Поймай меня, если сможешь
Catch Me If You Can, 2002","Семь психопатов (2012)
Seven Psychopaths","Карты, деньги, два ствола
Lock, Stock and Two Smoking Barrels, 1998"
8,"Мертвец (1995)
Dead Man","Не говори никому (2021)
Gæsterne","Остров проклятых
Shutter Island, 2009","Зона интересов (2023)
The Zone of Interest","Семь психопатов (2012)
Seven Psychopaths"
9,"Полу-Нельсон (2006)
Half Nelson","Оленья кожа (2019)
Le daim","Зеленая миля
The Green Mile, 1999","Поймай меня, если сможешь
Catch Me If You Can, 2002","Поймай меня, если сможешь
Catch Me If You Can, 2002"
