,KNN,Random,Popular,Election_series,Election_remove_bad
0,"1+1
Intouchables, 2011","Игра на понижение (2015)
The Big Short","1+1
Intouchables, 2011","Омерзительная восьмерка
The Hateful Eight, 2015","Бешеные псы (1991)
Reservoir Dogs"
1,"Люди в чёрном
Men in Black, 1997","Дэдпул и Росомаха (2024)
Deadpool & Wolverine","Люди в чёрном
Men in Black, 1997","Игры разума
A Beautiful Mind, 2001","Билли Мэдисон
Billy Madison, 1995"
2,"Леон
Léon, 1994","Семь психопатов (2012)
Seven Psychopaths","Ла-Ла Ленд
La La Land, 2016","Бешеные псы (1991)
Reservoir Dogs","Залечь на дно в Брюгге (2007)
In Bruges"
3,"Омерзительная восьмерка
The Hateful Eight, 2015",О чём говорят мужчины (2010),"Пятый элемент
The Fifth Element, 1997","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Копы в глубоком запасе (2010)
The Other Guys"
4,"Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Леон
Léon, 1994","Люди в чёрном
Men in Black, 1997","Люди в чёрном
Men in Black, 1997"
5,"Пятый элемент
The Fifth Element, 1997","Стражи Галактики. Часть 3 (2023)
Guardians of the Galaxy Vol. 3","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991","Ночь на Земле (1991)
Night on Earth","Общество мертвых поэтов (1989)
Dead Poets Society"
6,"Ла-Ла Ленд
La La Land, 2016",О чём ещё говорят мужчины (2011),Наша Russia: Яйца судьбы (2010),"Семь психопатов (2012)
Seven Psychopaths","Игры разума
A Beautiful Mind, 2001"
7,"Бешеные псы (1991)
Reservoir Dogs","Ларс и настоящая девушка (2007)
Lars and the Real Girl","Терминатор (1984)
The Terminator","Трасса 60
Interstate 60, 2001","Семь психопатов (2012)
Seven Psychopaths"
8,Наша Russia: Яйца судьбы (2010),"
Небриллиантовая рука (2024)","Кот в сапогах 2: Последнее желание (2022)
Puss in Boots: The Last Wish","Общество мертвых поэтов (1989)
Dead Poets Society","Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991"
9,"Терминатор 2: Судный день
Terminator 2: Judgment Day, 1991",Наша Russia: Яйца судьбы (2010),"Омерзительная восьмерка
The Hateful Eight, 2015","Перелом (2007)
Fracture","Перелом (2007)
Fracture"
